"","Gene","Clinical.feature","Cancer","Sample.type","Sample.total","Sample.total.wData","Group1","Group2","Group3","Group4","Group5","Group1.samples","Group2.samples","Group3.samples","Group4.samples","Group5.samples","Group1.isNA.samples","Group2.isNA.samples","Group3.isNA.samples","Group4.isNA.samples","Group5.isNA.samples","Group1.mean","Group2.mean","Group3.mean","Group4.mean","Group5.mean","term","comparison","estimate","conf.low","conf.high","adj.p.value","p.adj"
"24","ACE2","race","GBM","Tumor",152,151,"AA","ASIAN","WHITE",NA,NA,10,5,136,NA,NA,0,0,0,NA,NA,2.54975222229514,2.39329942802364,2.52607866294294,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","ACE2","race","HNSC","Normal",44,43,"AA","ASIAN","WHITE",NA,NA,2,1,40,NA,NA,0,0,0,NA,NA,6.82379734565656,7.89753692219009,6.49332095990654,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","ACE2","race","HNSC","Tumor",500,483,"AA","ASIAN","WHITE",NA,NA,47,10,426,NA,NA,0,0,0,NA,NA,5.74041295433511,6.51423157509374,6.20071646484815,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","ACE2","race","KICH","Normal",24,23,"AA","ASIAN","WHITE",NA,NA,1,1,21,NA,NA,0,0,0,NA,NA,8.4396605341213,11.5673286803019,7.98524298118808,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","ACE2","race","KICH","Tumor",65,63,"AA","ASIAN","WHITE",NA,NA,4,2,57,NA,NA,0,0,0,NA,NA,3.31766539689475,2.89273468925257,2.89289366329029,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","ACE2","race","KIRC","Normal",72,69,"AA","ASIAN","WHITE",NA,NA,2,0,67,NA,NA,0,0,0,NA,NA,9.9582193110945,NA,9.35593808071132,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","ACE2","race","KIRC","Tumor",530,523,"AA","ASIAN","WHITE",NA,NA,56,8,459,NA,NA,0,0,0,NA,NA,9.18231009777633,9.33487010975123,9.51239030134771,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","ACE2","race","KIRP","Normal",32,29,"AA","ASIAN","WHITE",NA,NA,5,0,24,NA,NA,0,0,0,NA,NA,10.2267933577599,NA,9.40658078926379,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","ACE2","race","KIRP","Tumor",288,271,"AA","ASIAN","WHITE",NA,NA,60,6,205,NA,NA,0,0,0,NA,NA,10.6241359062047,10.4317874211643,10.6268270197016,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","ACE2","race","LAML","Normal",0,0,"AA","ASIAN","WHITE",NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","ACE2","race","LAML","Tumor",145,143,"AA","ASIAN","WHITE",NA,NA,13,1,129,NA,NA,0,0,0,NA,NA,1.77308124097599,2.52226280993021,1.83357330823802,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","ACE2","race","LGG","Normal",0,0,"AA","ASIAN","WHITE",NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","ACE2","race","LGG","Tumor",510,499,"AA","ASIAN","WHITE",NA,NA,21,8,470,NA,NA,0,0,0,NA,NA,2.75458315577577,2.82396940365113,2.64903979799303,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","ACE2","race","LIHC","Normal",50,47,"AA","ASIAN","WHITE",NA,NA,7,6,34,NA,NA,0,0,0,NA,NA,7.79401429915105,7.357679759355,6.70881653038463,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","ACE2","race","LIHC","Tumor",371,359,"AA","ASIAN","WHITE",NA,NA,17,158,184,NA,NA,0,0,0,NA,NA,6.14067175328163,4.81487285299458,5.3866202403734,NA,NA,"race","ASIAN-WHITE",-0.571747387378826,-1.28678393775709,0.143289162999438,0.145405268774738,0.614805654750504
"39","ACE2","race","LIHC","Tumor",371,359,"AA","ASIAN","WHITE",NA,NA,17,158,184,NA,NA,0,0,0,NA,NA,6.14067175328163,4.81487285299458,5.3866202403734,NA,NA,"race","AA-WHITE",0.754051512908226,-0.91710567239678,2.42520869821323,0.538361327166192,0.999988432922797
"40","ACE2","race","LIHC","Tumor",371,359,"AA","ASIAN","WHITE",NA,NA,17,158,184,NA,NA,0,0,0,NA,NA,6.14067175328163,4.81487285299458,5.3866202403734,NA,NA,"race","AA-ASIAN",1.32579890028705,-0.356947476947311,3.00854527752141,0.153701413687626,0.614805654750504
"41","ACE2","race","LUAD","Normal",59,59,"AA","ASIAN","WHITE",NA,NA,4,0,55,NA,NA,0,0,0,NA,NA,5.62150979580247,NA,5.8652475117916,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","ACE2","race","LUAD","Tumor",512,445,"AA","ASIAN","WHITE",NA,NA,52,7,386,NA,NA,0,0,0,NA,NA,6.18934626195415,7.98047919348693,6.32193403844688,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","ACE2","race","LUSC","Normal",49,44,"AA","ASIAN","WHITE",NA,NA,2,0,42,NA,NA,0,0,0,NA,NA,6.10556306292106,NA,5.87970993601514,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","ACE2","race","LUSC","Tumor",501,388,"AA","ASIAN","WHITE",NA,NA,30,9,349,NA,NA,0,0,0,NA,NA,6.47306917445335,5.52270578637359,5.91791518697321,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","ACE2","race","MESO","Normal",0,0,"AA","ASIAN","WHITE",NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","ACE2","race","MESO","Tumor",86,86,"AA","ASIAN","WHITE",NA,NA,1,1,84,NA,NA,0,0,0,NA,NA,2.10201977814885,2.28968694280498,2.59523065895879,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","ACE2","race","OV","Normal",0,0,"AA","ASIAN","WHITE",NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","ACE2","race","OV","Tumor",264,251,"AA","ASIAN","WHITE",NA,NA,22,10,219,NA,NA,0,0,0,NA,NA,4.38393411845313,3.76472853019815,4.00292490636951,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","ACE2","race","PAAD","Normal",4,4,"AA","ASIAN","WHITE",NA,NA,0,1,3,NA,NA,0,0,0,NA,NA,NA,5.55398094996574,5.17972432406748,NA,NA,NA,NA,NA,NA,NA,NA,NA
