"","m1.raw","m1.scaled","Microbiota.x","domain.x","m2.raw","m2.scaled","Microbiota.y","domain.y","m3.raw","m3.scaled","Microbiota.x.1","domain.x.1","m4.raw","m4.scaled","Microbiota.y.1","domain.y.1"
"genderMALE",0.0328230679444588,10.2263308669336,NA,"clinical",0.0109220229593487,5.87175381771824,NA,"clinical",0.0882331370204775,16.8630060005374,NA,"clinical",0.000637560274211024,0.140695860692172,NA,"clinical"
"Glycomycetaceae|Stackebrandtia",0.01590704002471,4.95598567085507,"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Glycomycetales.f__Glycomycetaceae.g__Stackebrandtia","microbiota",0.00109541241368061,0.588901162902205,"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Glycomycetales.f__Glycomycetaceae.g__Stackebrandtia","microbiota",0.00313512288414319,0.599180736319724,"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Glycomycetales.f__Glycomycetaceae.g__Stackebrandtia","microbiota",0.00506982039578374,1.11880048521252,"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Glycomycetales.f__Glycomycetaceae.g__Stackebrandtia","microbiota"
"Gordoniaceae|Gordonia",0.0137538153818363,4.2851285874733,"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Corynebacteriales.f__Gordoniaceae.g__Gordonia","microbiota",0.0027485718555248,1.4776509210811,"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Corynebacteriales.f__Gordoniaceae.g__Gordonia","microbiota",0.00575588553658724,1.10005759309397,"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Corynebacteriales.f__Gordoniaceae.g__Gordonia","microbiota",0.0148092527675846,3.26808405200855,"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Corynebacteriales.f__Gordoniaceae.g__Gordonia","microbiota"
"HPV.flagpos",NA,NA,NA,NA,8.39014426157192e-07,0.000451059861185544,NA,"viral",NA,NA,NA,NA,0.00308556610776378,0.680918176389909,NA,"viral"
"Hymenobacteraceae|Rufibacter",0.0849571417189823,26.4691844832242,"k__Bacteria.p__Bacteroidetes.c__Cytophagia.o__Cytophagales.f__Hymenobacteraceae.g__Rufibacter","microbiota",0.0022756111957436,1.22338405403303,"k__Bacteria.p__Bacteroidetes.c__Cytophagia.o__Cytophagales.f__Hymenobacteraceae.g__Rufibacter","microbiota",0.0127239165450609,2.43177890184163,"k__Bacteria.p__Bacteroidetes.c__Cytophagia.o__Cytophagales.f__Hymenobacteraceae.g__Rufibacter","microbiota",0.0119631489168173,2.64001005320342,"k__Bacteria.p__Bacteroidetes.c__Cytophagia.o__Cytophagales.f__Hymenobacteraceae.g__Rufibacter","microbiota"
"Hyphomonadaceae|Robiginitomaculum",0.0330580699699505,10.299547924862,"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Hyphomonadaceae.g__Robiginitomaculum","microbiota",0.00397712890280377,2.13813154445045,"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Hyphomonadaceae.g__Robiginitomaculum","microbiota",0.0272092281496525,5.20019340864074,"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Hyphomonadaceae.g__Robiginitomaculum","microbiota",0.00674595773337949,1.48868799999401,"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Hyphomonadaceae.g__Robiginitomaculum","microbiota"
"Intrasporangiaceae|Terrabacter",0.057633183847137,17.9561522991374,"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Micrococcales.f__Intrasporangiaceae.g__Terrabacter","microbiota",0.00888445432580642,4.77634306392337,"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Micrococcales.f__Intrasporangiaceae.g__Terrabacter","microbiota",0.0241884922017139,4.62287415947582,"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Micrococcales.f__Intrasporangiaceae.g__Terrabacter","microbiota",0.0107730699744231,2.37738518797168,"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Micrococcales.f__Intrasporangiaceae.g__Terrabacter","microbiota"
"Intrasporangiaceae|Tetrasphaera",0.0720906307088237,22.4605037920843,"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Micrococcales.f__Intrasporangiaceae.g__Tetrasphaera","microbiota",0.0127108595683416,6.83344454362332,"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Micrococcales.f__Intrasporangiaceae.g__Tetrasphaera","microbiota",0.105969648536842,20.2527857389552,"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Micrococcales.f__Intrasporangiaceae.g__Tetrasphaera","microbiota",0.0192222650018234,4.24194108114932,"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Micrococcales.f__Intrasporangiaceae.g__Tetrasphaera","microbiota"
"ISG.gene38",0.0446508565086324,13.9113879580637,NA,"immune",0.0486361008111013,26.147098543871,NA,"immune",0.0739268114502116,14.1287990791509,NA,"immune",0.0389919878766374,8.6046943580215,NA,"immune"
"Kiloniellaceae|Kiloniella",0.0431977074990639,13.4586459232256,"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Kiloniellales.f__Kiloniellaceae.g__Kiloniella","microbiota",0.000549023075501309,0.295158538998571,"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Kiloniellales.f__Kiloniellaceae.g__Kiloniella","microbiota",0.037243587061219,7.11794744359045,"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Kiloniellales.f__Kiloniellaceae.g__Kiloniella","microbiota",0.00911279398296139,2.01099793165411,"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Kiloniellales.f__Kiloniellaceae.g__Kiloniella","microbiota"
"Lachnospiraceae|Lachnoclostridium",0.0376088051715586,11.7173716315976,"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Lachnoclostridium","microbiota",0.0366607926702135,19.7090914497344,"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Lachnoclostridium","microbiota",0.0375400457680269,7.17460625818812,"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Lachnoclostridium","microbiota",0.00864174511280247,1.90704756194656,"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Lachnoclostridium","microbiota"
"Legionellaceae|Legionella",0.00872949649902832,2.71975549792788,"k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Legionellales.f__Legionellaceae.g__Legionella","microbiota",0.000575031287684324,0.309140730735948,"k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Legionellales.f__Legionellaceae.g__Legionella","microbiota",0.0179306997590258,3.42689275073733,"k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Legionellales.f__Legionellaceae.g__Legionella","microbiota",0.0013903411441184,0.306818432452602,"k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Legionellales.f__Legionellaceae.g__Legionella","microbiota"
"Leptotrichiaceae|Sebaldella",0.0376286272132554,11.7235473723051,"k__Bacteria.p__Fusobacteria.c__Fusobacteriia.o__Fusobacteriales.f__Leptotrichiaceae.g__Sebaldella","microbiota",0.00136373457797068,0.733152983138498,"k__Bacteria.p__Fusobacteria.c__Fusobacteriia.o__Fusobacteriales.f__Leptotrichiaceae.g__Sebaldella","microbiota",0.0184154850211049,3.51954429934445,"k__Bacteria.p__Fusobacteria.c__Fusobacteriia.o__Fusobacteriales.f__Leptotrichiaceae.g__Sebaldella","microbiota",0.00331458577705168,0.731457899125571,"k__Bacteria.p__Fusobacteria.c__Fusobacteriia.o__Fusobacteriales.f__Leptotrichiaceae.g__Sebaldella","microbiota"
"Macrophages.M1",0.0133448158145347,4.15770098360836,NA,"immune",NA,NA,NA,NA,0.0355674847374829,6.79761287885525,NA,"immune",NA,NA,NA,NA
"Macrophages.M2",0.273432230564178,85.1903443079891,NA,"immune",0.0920325700964401,49.4773355475913,NA,"immune",0.105969058015402,20.2526728792414,NA,"immune",0.0541541625128477,11.9506606873172,NA,"immune"
"Methylocystaceae|Methylopila",0.00860487110058028,2.68092730060307,"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Methylocystaceae.g__Methylopila","microbiota",0.00235355423505534,1.26528676201548,"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Methylocystaceae.g__Methylopila","microbiota",0.00104075356869548,0.198907511017313,"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Methylocystaceae.g__Methylopila","microbiota",0.00215122703170378,0.474729607556526,"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Methylocystaceae.g__Methylopila","microbiota"
"Microbacteriaceae|Plantibacter",0.160137692784535,49.8923815852041,"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Micrococcales.f__Microbacteriaceae.g__Plantibacter","microbiota",0.0536546886862468,28.8451255142517,"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Micrococcales.f__Microbacteriaceae.g__Plantibacter","microbiota",0.0177220240146411,3.38701090533824,"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Micrococcales.f__Microbacteriaceae.g__Plantibacter","microbiota",0.0149244584422217,3.29350747031946,"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Micrococcales.f__Microbacteriaceae.g__Plantibacter","microbiota"
