"","ACC","BLCA","BRCA","CESC","CHOL","COAD","DLBC","ESCA","GBM","HNSC","KICH","KIRC","KIRP","LGG","LIHC","LUAD","LUSC","MESO","OV","PAAD","PCPG","PRAD","READ","SARC","SKCMmets","SKCMprimary","STAD","TGCT","THCA","THYM","UCEC","UCS","UVM"
"Gordoniaceae|Gordonia",-0.211765143653855,0.0834663856879007,-0.0087048598643051,-0.104154112899704,0.0803088803088803,-0.0151990645190182,0.216412814133486,-0.186970899470899,-0.0622477870345361,-0.010600438049667,0.0104895104895105,0.0179879935836086,-0.101219853994714,-0.0318355039811679,-0.0635490024930874,-0.100833867785505,0.00216552625117172,-0.0101260073040602,0.0755350839292396,0.0615120929346791,-0.0491892371431084,0.0135708780739207,-0.0323743015027382,0.0957582456294099,-0.0858262405368842,0.181283017221068,0.088652359965987,-0.0847167670419831,-0.111305779844871,-0.0875308896966342,-0.0384856847762526,-0.069174114400298,-0.228406169186311
"Glycomycetaceae|Stackebrandtia",-0.0969249705960874,-0.0557804824762749,-0.0207459247989146,-0.0136168527854387,0.116859716859717,-0.0442055620650761,-0.0178983658240787,0.00476478030825857,-0.00514530668902155,-0.0418049409401115,-0.0685751748251748,-0.0210778383025012,-0.0414760835797751,0.0292691379677137,0.0854258416209634,-0.0508891625798533,-0.0184784276536422,0.0487107279463289,-0.0654094551740188,0.110258219213656,-0.0425616346648791,-0.0155787204148472,-0.190710684139693,0.0763066461870138,-0.0914677141815427,0.0729920593996862,-0.00783540814355697,0.0413396675769025,0.0213602560508315,-0.14985863736769,0.0304373402879456,0.0916967139011856,-0.00829243831356247
"Intrasporangiaceae|Terrabacter",0.0392339547294085,-0.196228642678715,0.13018302915814,-0.118877672677633,-0.217760617760618,-0.0277594628752699,-0.12266502180411,0.127570738440304,0.000639104849450037,0.0881637850218141,-0.0362762237762238,-0.010029916764066,0.0433871969028229,0.0108783559337266,-0.0966582054399671,-0.0295881017852611,0.176753594048706,-0.0152599213713849,-0.158290274981256,-0.150943110403213,-0.0737102762463599,-0.121611828262837,-0.0267739194611725,-0.0109940930277751,-0.101998804861964,-0.0923877826768222,0.174511376548583,-0.0762777590743027,0.236754201038491,-0.105035643327285,-0.038686301762125,-0.220953878259845,-0.138927705910505
"Intrasporangiaceae|Tetrasphaera",0.201469828817653,-0.012898561850772,0.0242864529537707,0.230024413973341,0.0962676962676963,0.0717865197824224,-0.378022814343083,0.365246146767886,0.222082099837904,0.173804727791663,-0.155506993006993,-0.0314744086415371,-0.0184913834878342,0.00754775219311726,-0.0246079657628302,0.0486593170281371,0.0313902178763924,0.0173777791081818,0.0690490204871172,0.00890523017260781,0.0448616743407119,0.0316131894865748,0.0167453283634853,0.0731964912590685,-0.0178337134520953,-0.0873466518816889,0.0213421593243552,-0.395463783837704,-0.135467510797514,-0.115468704380541,-0.120072523081621,0.170303662083342,0.177594429604907
"Microbacteriaceae|Plantibacter",-0.260193762784675,-0.117107951699909,0.00627519409167402,0.00954305195916722,-0.0154440154440154,0.0462782786321683,-0.0743336039925094,0.194343800322061,-0.0767592265573428,-0.0116011918745985,0.109222027972028,-0.00340161780077055,0.0763078003075174,0.0321363411688637,0.0995822171820536,-0.0305661677457581,-0.0114989113511698,0.128139847798252,-0.0267037329920543,0.0851980575128547,-0.0881809050125597,0.062676066327182,0.104283082876971,-0.0382056725825553,0.00829324301468193,0.26076594437658,0.146788015682104,0.0438434394443821,0.0270378587316192,0.056423988208155,0.132590965280419,-0.169073292459622,-0.30832366250852
"Micrococcaceae|Paenarthrobacter",0.0722365346895368,-0.10891888222065,-0.028166823766242,0.0398610999433087,-0.14028314028314,-0.0340277802386799,-0.116193625691821,0.107697837589142,-0.0928222896183865,0.054137816946893,-0.0785839160839161,0.0472688037863475,0.0412345750156509,0.00552950601735623,-0.0545272917248747,-0.16784943985732,-0.0920534521102936,-0.126844550878872,0.137089097772126,0.177106957982029,0.0748085179399152,0.143704066475498,-0.022482153821346,0.106333892908604,0.0392973138968291,-0.0237888655822631,0.0516650947773979,0.0197284255414656,-0.0227293348006529,-0.0583254402908986,-0.0413011664789301,-0.00372528580515439,-0.0393479721677539
"Promicromonosporaceae|Cellulosimicrobium",0.123594577285262,0.0200512762115661,-0.0241334007387539,0.0325681955860076,-0.154440154440154,0.0509144098688269,-0.248361688633796,0.0169628479411088,0.0384932509056458,0.0210098424122356,-0.108304195804196,0.054042126681905,-0.0503851825851894,0.103383506940596,-0.00930288033749455,0.0185546936009991,-0.0166418813107402,-0.0189661724107795,-0.0409864425295866,-0.119697979605616,0.0505354688964988,-0.0541728724284505,0.0373823950781139,0.0359621730753108,-0.00304153552616851,-0.0167159064710085,-0.0756457078643794,0.160902255639098,0.0276015021828378,0.0323246854066408,0.0626380981097456,0.330285890101028,0.208509015499095
"Micromonosporaceae|Salinispora",0.0168314851105015,0.0493616358138086,-0.070731462790939,-0.0781390237122976,-0.00411840411840412,0.0148501143815748,0.353419848943209,0.0775534851621808,0.0316647402682064,0.0869519090330822,-0.0781031468531469,0.0781210443562742,0.0467908436297532,-0.00554230663743109,-0.0300406222359722,0.0107701494248457,-0.0497760231264821,0.0736333752418497,0.0296597996136148,0.0841939197728571,0.0420166015663405,-0.00323612901812966,-0.134201402886398,0.0623596217803418,-0.0765934802227433,0.138153342640483,0.152468451429876,0.022900534919388,-0.0348416929773792,-0.140308647693685,-0.0023550850974088,0.0502059160346036,0.0408279257477948
"Pseudonocardiaceae|Alloactinosynnema",-0.180371206636884,-0.106851030864593,0.042063912582441,0.0923145691824821,0.0749034749034749,-0.0128871830030849,0.20096308467622,-0.360648148148148,-0.00570409622316637,0.00129657596021082,0.266739510489511,0.0780669745056209,-0.0769600305945773,-0.0628595029278372,0.0256385414040847,0.0237557625784405,-0.0715195712068028,-0.0299052858102171,0.0338912304444333,0.142583230899742,-0.0423054691085659,0.0633673788579308,0.0633159471343782,0.0859004341532203,-0.0464976093967398,-0.0217240886988533,0.116348129159131,0.0103218244616516,-0.0985966729384885,-0.119008111440929,-0.0484680083418901,0.145593738806951,-0.158589946331049
"Pseudonocardiaceae|Kutzneria",-0.184265815867684,-0.0856723176040253,-0.0297629916150382,-0.0569052846113165,-0.173230373230373,0.00168951067143301,-0.196998625796619,-0.0833160800552105,0.169056903371502,0.0381247899558408,0.12854020979021,-0.0631416691192124,-0.00690787836559996,-0.0158101227486471,0.0709069685405023,-0.0932312383700713,-0.0029657755572265,0.107831104857896,0.0361308626073542,0.00937050951333945,-0.0242566980504603,0.145247350777403,-0.110897487580548,-0.0739220306658128,-0.0448345181151006,-0.140778245167797,-0.157992429848171,0.0222222222222222,-0.00924581100841571,-0.00976363597543613,-0.0461964518127874,-0.0978827389537814,-0.0242665404473372
