"","KICH","KIRC","KIRP","THCA","LUAD","BRCA","LUSC","PRAD","COAD","LIHC","STAD","HNSC","BLCA","UCEC"
"Astrocytes",-0.00695652173913043,-0.280477216596769,-0.480249291724643,-0.138420936547588,-0.184405868571462,0.176342404684277,-0.210816326530612,0.025527736873758,-0.152264808362369,0.0834460965966958,-0.451835372636263,-0.534661435060378,-0.635087719298246,-0.79785431959345
"Epithelial cells",-0.5,-0.792430381375008,-0.888929618768328,0.024393244947553,0.193980128579778,0.00405881961541021,0.247755102040816,0.41944847605225,0.46794425087108,0.55265306122449,0.27741935483871,0.643410852713178,0.726315789473684,0.382269904009034
"Hepatocytes",0.901739130434782,0.912856132227153,0.956011730205279,0.252833822442759,-0.0800352522633923,0.0581537114771391,0.155526074899052,-0.010007149617862,0.301437937112312,0.137478991596639,0.697492764597849,0.199910693695012,-0.554003994629247,-0.00172139252178224
"Keratinocytes",-0.429565217391304,-0.746028683516625,-0.87316715542522,0.024085637823372,0.0141437755698422,-0.0104672850557587,0.163061224489796,0.242721762144626,0.183623693379791,0.587803121248499,0.290577374142056,0.438195912614517,0.82141297947059,0.328434353489072
"Melanocytes",-0.44,-0.31188500868223,0.137096774193548,0.0443261865944815,0.069666861484512,-0.118384389632183,0.243163265306122,0.315888329206864,-0.205431907183336,0.201824729891957,-0.401557285873192,-0.00916267277217429,-0.0894736842105263,-0.237718802936194
"Mesangial cells",-0.0426086956521739,-0.504308958775484,-0.486803519061584,-0.000439739156911992,-0.0616014026884863,0.0203024153303613,0.000306122448979592,0.305814052761888,0.211149825783972,0.119844233494525,0.234260289210234,-0.288694674421738,-0.0228070175438597,-0.505364201016375
"Neurons",-0.379130434782609,-0.536175959868802,-0.49633431085044,-0.171183364606724,-0.4416715371128,-0.0209927473551135,-0.274387755102041,-0.312387945018356,-0.220557491289199,-0.0490276110444178,-0.362402669632925,-0.524594785059901,-0.63859649122807,-0.561829474872953
"Sebocytes",-0.388695652173913,-0.600971123544923,-0.699046920821114,0.00913593158817558,0.328930450029223,0.0413533834586466,0.347142857142857,0.23196448390677,-0.0930313588850174,0.53344537815126,0.0592427984253654,0.0372093023255814,0.776656503025077,0.459192336865112
