"","UCS","THCA","LUSC","LUAD","ESCA","MESO","LGG","GBM","BRCA","PCPG","SKCMmets","KIRP","KIRC","SARC","OV","STAD","READ","COAD","UVM","THYM","HNSC","ACC","PRAD","DLBC","CHOL","LIHC","SKCMprimary","UCEC","CESC","PAAD","KICH","BLCA","TGCT"
"Common lymphoid progenitor",-0.273381295003945,-0.0708045545464243,-0.222452370160078,-0.354477262567859,-0.414038417299287,-0.000368734159531605,0.110476001683656,-0.1037024515875,-0.265525733941677,-0.0545979470428684,-0.0998688341844289,0.0254403596061908,-0.00264336178254191,0.0682431211899582,-0.0309152719239301,-0.0181979337980186,-0.0838072719351476,-0.0580560041685658,0.276454844908354,0.147216544773316,-0.183069287279224,0.149163533539646,-0.026389993707481,0.172370023928249,-0.264864864864865,-0.0972111675497368,-0.017496650061918,-0.265930509630788,-0.306551857028493,0.00654637211959627,0.0484265734265734,-0.218717840282246,0.143555405927755
"Common myeloid progenitor",-0.0701412863781742,-0.0199967938845233,-0.0621250542926392,0.0876107542676537,0.0687730865338119,0.0376607685454375,0.0191197708420717,0.0799607581502142,1.61713740877015e-05,-0.0237051098591177,0.00557800083740431,0.0606393065159331,-0.0161349023974225,-0.208381759916979,-0.0171151092373256,0.0501957646801971,-0.026077469078561,-0.0117631933921573,0.0814747840802477,0.00528508050371549,-0.011392422396967,0.0380610437831206,0.104150785898138,-0.00897203072229304,0.0603635026162355,-0.0548391385820067,0.103037212959399,-0.0534062045338468,-0.100389958504131,-0.0114709747324333,-0.0947082241775599,-0.0864606721556455,-0.0918377155814418
"Erythrocytes",-0.184799438417881,-0.0515820342818308,-0.0725550698288748,-0.127985664687187,0.0859585953080896,0.163969001549558,-0.045959789956488,0.0727290387160557,0.0116249036562738,-0.138526285484821,0.0287776003354727,-0.0310562601009173,-0.0870497214327973,0.0524780590568885,0.09620028551447,0.068127153952353,-0.0142613642507361,0.0501495370607459,0.0732299107654181,0.098791831142462,-0.117961107120768,-0.0637603191771287,-0.0519167736460023,-0.323204553694147,0.0154089503165566,0.0255707745387442,-0.0232837909599269,0.0383609219961745,0.00402137943627094,-0.123247291137017,-0.111943227396227,-0.169725130000362,0.210792806849993
"Granulocyte-macrophage progenitor",0.170139686363133,-0.104591134240758,0.231412602293032,0.209189683960963,0.271251463338562,0.142591631073307,-0.0355388127620672,0.0887529531149452,-0.0232812889003402,-0.091167986778283,-0.0414828746524647,-0.0305253087535433,-0.138696053805543,-0.15097748883918,0.0708761957722451,0.0433409670088203,-0.0040130510102243,-0.0363771800679186,0.119224623739707,-0.0051075375408783,0.0205719307046284,-0.0390424495779702,0.0398708303206299,0.190308365496046,0.00238756294750031,0.111674076160151,-0.0149280520931868,-0.0565201137557355,-0.0474963621141684,-0.132915060328662,-0.0126506078426248,-0.0512805210085144,0.0576095138223517
"Hematopoietic stem cells",0.0760436781327387,-0.259850871629255,0.439110718801441,0.509056703479605,0.222972739820566,0.0595931130135309,0.0457217342412489,-0.133607090264975,0.131466945030027,0.0187689252219749,0.0127773138879785,0.00183861205888381,-0.0415706932034504,-0.210316786021416,-0.116649049289487,-0.162707268429829,-0.146480176737521,-0.204310259232793,-0.152787588644222,0.110932281246804,0.240949185794614,-0.180591336723842,-0.30846798928293,-0.0678231197803765,0.217503217503218,0.237099711658446,0.0573305070819082,-0.0158087321463962,0.0875503044992599,-0.197401793597756,0.0195804195804196,0.296020249695267,0.569261462112994
"Megakaryocytes",0.527434144375968,0.234545443421253,0.342422558636145,0.364739239792142,0.593854856763692,-0.0236651692642976,-0.163519642181336,-0.00664948637986612,0.228238623300082,0.0533436688231903,-0.0279392188447109,-0.00640500424237421,0.0479289172436903,-0.160957433042217,-0.0135772721859697,-0.0394152909748365,-0.142121447336995,-0.138521798726674,-0.0911437795403735,0.0310094409614237,0.0958419379255684,-0.214156762748132,0.012780541473241,-0.0834771997824525,0.0081086299157547,0.20813652162402,0.0668853229202054,0.132129016931564,0.220707774874361,-0.0266421114592891,0.164729020979021,0.253434774096954,-0.15352815865575
"Megakaryocyte-erythroid progenitor",-0.16767203816594,-0.272015780878344,-0.354810601903762,-0.168160666545803,-0.215780998389694,-0.0145319077743609,0.0239329982076721,-0.108552129562738,-0.0390597271185216,-0.171503034201828,0.0361161860070459,-0.0151208259487439,0.185541417086581,-0.0815654062306845,0.0358592240529405,0.06471829046482,-0.110860998328159,-0.0147462369243601,-0.0550401783815209,-0.105505665190435,0.0238201256227839,-0.200386111466474,-0.187328885036865,0.352343803275738,-0.0229086229086229,-0.144928878099907,0.0132563069057209,-0.255516716419661,-0.251159484870823,-0.089175654853621,0.209440559440559,-0.0554995508185546,-0.228329530293395
"Multipotent progenitors",-0.120642613308339,-0.106923222376864,0.0500346897601199,0.0467940779168394,0.0102286129513581,0.139424730310061,0.0219625721471735,-0.0806651561237903,0.0204335910115688,-0.048727663523727,-0.013471010065711,0.0353742782797114,0.00686484481311383,0.046087837010384,0.00670519631145861,0.0721778870743601,-0.0250362935195611,-0.0181985653095391,-0.152833155889826,0.0958885575064469,-0.0274897428588629,0.0914040714720003,0.0211553039585939,0.0812309462819182,0.0137693012042945,0.110704314832658,-0.031055320978508,0.0632244771997772,-0.0849496275673396,0.0615844268310224,0.166967850114741,0.0305578093727778,0.136820385988335
"Platelets",0.217853328276436,0.108447645170612,-0.00616927047775023,-0.0103929171274899,0.137196266981283,0.0950382782541105,-0.0850276054857692,0.0413153346436169,-0.00833734668357484,-0.0414359014751736,-0.0733086579338658,0.0746333489639027,0.0849896419513872,-0.060795768341711,-0.0110855590487128,-0.0148289179434941,0.048197596539085,0.0183925138858067,0.189005909441638,-0.0158933989891016,0.183364416415213,-0.021254146880922,0.316026959550211,-0.072543590511172,-0.217774828162631,-0.0428883936463719,-0.12981063727217,0.0323532276376087,0.0178569735845832,-0.0665543743394868,0.374623017098083,0.11311441957675,-0.0977870033087948
