"","ACC","BLCA","BRCA","CESC","CHOL","COAD","DLBC","ESCA","GBM","HNSC","KICH","KIRC","KIRP","LAML","LGG","LIHC","LUAD","LUSC","MESO","OV","PAAD","PCPG","PRAD","READ","SARC","SKCMmets","SKCMprimary","STAD","TGCT","THCA","THYM","UCEC","UCS","UVM"
"Endothelial cells",-0.123515092502434,-0.1914655864818,0.0511262073557087,-0.0542320066857117,-0.0262565159176819,-0.0860773351167905,0.300761119298474,0.0613786289930532,0.056377165766433,-0.156270853377797,0.0976190736408104,0.0342631585957773,-0.168411867383873,0.156432597623122,0.128190757208473,0.182735049668244,0.0573225850794822,-0.0606093777850491,0.0011616382525672,-0.0213958255443894,0.148984608992227,0.0449033274375823,0.107508937591882,-0.0597892285646047,0.109710597003431,-0.00994230401182105,0.128710447369545,-0.0203634595263749,0.475989426207232,-0.101157548908725,-0.130266343825666,0.0470712568940888,-0.064799466849291,0.0124326351681822
"Eosinophils",0.104535022333602,-0.0492783266511377,0.0186093696147094,-0.0669550534760982,-0.172888004783312,-0.00685998303947495,0.0314899297091367,0.00827685723401751,-0.0328895597725041,-0.00631559575215429,0.287702336790721,0.165566996975087,-0.0298720936946098,0.037533313958483,-0.118071017852748,-0.0091865456963884,0.0945133797891989,0.0928320217982309,0.174219215881176,-0.00995881328710429,0.0147454150545531,0.0175623711854101,0.0831605199954536,-0.0345278310655933,-0.0320181695566702,-0.0765381788342981,0.0498823615370005,0.182534201467517,-0.0948930814604069,-0.20306467229875,0.0550171159157564,0.0339014360063021,0.034846080273304,-0.0797431386855912
"Epithelial cells",0.203042843232717,0.409266956395446,0.360791748619643,0.352141227927797,0.242213642213642,-0.0730530839807557,0.0335968809621861,0.310326086956522,0.015110242488839,0.32364206256825,0.298145740246603,-0.15869135314717,-0.237711942739793,-0.0260661015181971,-0.0111007924363353,-0.136847034326168,0.132773300830795,0.278118949352291,0.158332238246252,0.214543924264807,-0.0704411280968127,0.193025466863922,0.361689352426809,-0.0958801050871746,0.0399490043414141,0.019610853620846,0.539671118012886,0.220121386317401,0.429659093776388,-0.0533868658687616,0.423422589374733,0.421201839715989,0.435140723589226,-0.0595824684248048
"Erythrocytes",-0.0657195911305686,0.0561470895870912,0.0207083694646183,0.031655867960239,0.19367212783195,0.0683245782826433,0.169714253130912,0.135245179220484,-0.0337137109258211,-0.0209272293079656,-0.232290458068668,-0.0652261354301508,0.00127972008119978,0.229089365356983,0.0567761698814028,0.0194868695206779,-0.0965629548957358,0.0127685655333899,-0.0649667282368248,0.0457347909795416,-0.115236961541761,-0.0466224504779315,-0.0318512749526176,0.0294446876160439,-0.114722579172565,0.0193469584806138,-0.0254799167300964,0.0467727888014102,0.191628644498004,-0.0206316721588508,0.0369799071524946,0.0190603101518341,0.0929521288494881,0.0956319858835415
"Fibroblasts",-0.0307757866801026,-0.0428719147144748,0.0449799027288273,-0.125164417493029,-0.178364492869152,-0.106422398637079,0.112928409618611,-0.0749388657032552,-0.0307708441130675,-0.190668323881488,0.00945894317412943,-0.420993782259635,-0.150100020218635,0.137247900838183,0.0468567889426506,0.0133861689525559,0.0719468443240779,-0.0892934288992391,0.228823847328867,-0.175276509398528,0.0693274592055041,0.0452079444440911,0.0140106891417041,-0.0736668642065435,0.317017140704476,0.0700118463479158,-0.0676115825588407,-0.0826468047723077,0.28365524743409,-0.0139395271630523,-0.267495763647351,-0.153559294344077,-0.0533160170278977,-0.0041120054393837
"Granulocyte-macrophage progenitor",0.0347796638244275,-0.0159116383997954,-0.10027443066196,-0.004787561358797,0.169251684500578,0.0599241952006553,0.112342742523587,0.0201201349822462,-0.0391977011003634,0.00703417690825505,0.239815227819691,0.0675188475878001,-0.0998608003358831,0.0498192269302304,-0.055846775834796,0.160618499466455,0.0521850482193415,0.0190101322468531,-0.112642207889134,-0.0565109021524097,0.290936201888942,0.0928154321202133,0.10823769461258,-0.00826010802407395,0.0796117667182451,0.0559648200741937,0.0123226358762699,0.103768121228782,0.0415672283257477,0.0324205036498549,-0.0252724601946572,0.119377821440968,0.303690389283561,-0.106231789124143
"Hepatocytes",0.0238990363715255,-0.0968269787121065,0.0866243141785481,-0.0528698853780026,0.175804375804376,-0.0214334291060643,0.107217584068165,0.203484922515415,-0.151388388930445,0.0984780043178003,0.434359441967817,0.502975605079567,0.464577100680285,0.157090088572448,0.034338690788211,0.339045638548446,0.0815278158597066,-0.0761199357326514,-0.0406696086304474,0.0319530491341951,0.474595158865497,0.21337757319589,0.045299065279433,0.119115133923318,0.265521397807948,0.0892605020926995,0.0440356801054472,0.32299568534762,0.341507054951689,0.145104063404035,0.0532979639214805,0.177010271540881,-0.0479897972487598,0.0421903336553446
"Hematopoietic stem cells",-0.235686465433301,-0.131409597940272,0.0609047669705478,0.00413680280883999,-0.019047619047619,0.233889666145228,0.0547248429005419,-0.0681504485852312,0.212442285089068,-0.10311929247717,0.150001639012877,0.0109798414278598,-0.103627893051051,0.167941720681161,0.141610169337367,0.255016098154257,0.23357901717671,-0.0273225660233318,0.12261422303317,-0.116840948822776,0.323754349820813,0.210109607650581,0.117426174638828,0.181714234535467,0.293559354899025,0.217709881971224,0.198634679057565,0.0137629270807834,0.507611162412588,-0.0928649606427777,-0.0599059962968238,0.0391425921062087,0.175259317512217,0.139784224150949
"iDC",-0.0046997518924536,0.0143099438609278,0.2568619209711,0.0653384190878104,0.0918918918918919,-0.200232491648358,-0.00563783276420246,0.0634345525649874,-0.0423317188111948,0.0262796251185005,-0.12226969263943,-0.251548715217698,0.0671339554473152,-0.186054057314245,0.0642396590224844,-0.133325539047138,-0.0390409545839912,0.116335138487964,0.163583220916394,-0.0951767270341447,0.20026704870068,0.0345204770516689,0.0122113953020655,-0.114822665392883,-0.0362630355064079,0.0278295899344853,0.23722266463937,-0.0685016356788952,0.241282825026862,-0.0643746887931678,0.32461900014243,0.220236553451588,0.176079563928031,-0.13607791312295
"Keratinocytes",0.0181589610629289,0.378247295151932,0.510413895636854,0.361511289178961,0.322779922779923,-0.150066076856601,0.236989357113805,-0.0193869335173683,-0.102459115911991,0.236650738602954,0.106973491553574,-0.165457925450759,-0.231642194293942,0.110219149595669,0.051203417166805,-0.0506337622052092,0.00262504339048622,0.303595009184818,-0.0118147110078176,0.14986371623498,-0.143362303284223,0.0927243001358427,0.376286611782411,-0.149277525674707,-0.0353594643460862,-0.0199546996109453,0.560648157479667,0.122963473138787,0.411085577079649,-0.117097362180238,0.604123344252956,0.382420956526445,0.419767881420254,-0.0751138658056436
"Lymphatic endothelial cells",-0.202190847127556,-0.180638218531573,0.0478796609170533,-0.11698978950964,-0.118929680627608,-0.182868235734383,0.323922904467995,-0.00516266726669053,0.0609023774957302,-0.165878931411678,0.103759875004828,0.0421064348819693,-0.189688197766039,-0.00946372577483888,0.122037183531468,0.175549674550932,0.0942005996779409,-0.0223858640903769,0.00583038099568338,0.00101483875611574,0.127379485822787,0.0704767117891229,0.123506141579413,-0.128145970190992,0.137050243681981,-0.0404311806920773,0.173035168376782,-0.0607893354323294,0.426738821450168,-0.129012180395608,0.0501424298532973,-0.0130326999854024,-0.148609716093584,-0.0437425153157887
"Macrophages",0.116942551119766,0.148667451386564,0.0534557090432035,0.14785497872063,-0.191040171110511,-0.208345303613273,0.0719111321964599,0.0298114341414722,-0.0472549678015582,0.0618003055102567,0.134813535995111,0.0379599692803021,0.295591839123436,0.0821775104694949,-0.0553168340398158,0.000271315112978806,0.0183637271283223,-0.00689734410017755,-0.0272843326151759,0.127629898173855,-0.0355607109566073,0.000218131170244959,0.0845371741741324,-0.0449888780495336,-0.308149092576552,-0.165007797320659,-0.151471585568692,0.0390102807053994,-0.0772247976864411,0.236486933538176,0.0139680784462824,0.120013063944529,0.117306025987595,-0.108705366588217
