"","BRCA","DLBC","PRAD","UCS","SKCMprimary","KICH","HNSC","CESC","BLCA","UCEC","LUSC","OV","CHOL","THYM","PAAD","PCPG","LAML","SARC","LUAD","LIHC","THCA","ESCA","STAD","KIRP","KIRC","MESO","LGG","SKCMmets","GBM","UVM","READ","COAD","ACC","TGCT"
"Common lymphoid progenitor",-0.343321147880809,0.122996800508825,-0.0504894029054768,-0.346690818417304,-0.123620267228472,-0.188201357106483,0.108373393493574,-0.0126683979873397,0.0197118195697826,-0.120159704901667,-0.00519579168356514,0.0784329902420606,-0.313256113256113,-0.139303518017376,-0.296885008916051,-0.00908153597497132,-0.130275072498873,-0.0881195758770753,-0.209564991812748,-0.134655051162348,0.0024372221548602,-0.119174143087187,-0.10919144102019,-0.0316834573624114,-0.173136137010627,0.0150824088565025,-0.00926879805616981,0.0188655881903295,-0.00232754470366419,0.00457478084550034,0.175943921495654,0.10620625687258,0.180574488802337,0.127853562442918
"Common myeloid progenitor",-0.102986737854587,0.0757320598648023,-0.0942678871708646,0.0349618407800206,-0.0260361509612066,-0.015695305372026,-0.0445362467318662,0.0414497041827673,0.0519192439182012,-0.0281913389653489,-0.0497391965221207,0.050768496263856,0.0924537018993397,-0.0736707453118452,0.0322663754602406,0.137561403518194,0.0539790523400921,0.139458157993806,-0.0356189078641607,0.0195165801301714,0.0102522122678493,0.0701866672962852,-0.0860278016526459,-0.0253915827581583,-0.00555202444214191,0.0224958039753065,-0.0906807520559983,-0.0448347375997867,-0.0611654198351711,0.0811374857723431,-0.10213781085719,-0.053279512309344,-0.123040781889027,-0.107042524690852
"Erythrocytes",0.0207083694646183,0.169714253130912,-0.0318512749526176,0.0929521288494881,-0.0254799167300964,-0.232290458068668,-0.0209272293079656,0.031655867960239,0.0561470895870912,0.0190603101518341,0.0127685655333899,0.0457347909795416,0.19367212783195,0.0369799071524946,-0.115236961541761,-0.0466224504779315,0.229089365356983,-0.114722579172565,-0.0965629548957358,0.0194868695206779,-0.0206316721588508,0.135245179220484,0.0467727888014102,0.00127972008119978,-0.0652261354301508,-0.0649667282368248,0.0567761698814028,0.0193469584806138,-0.0337137109258211,0.0956319858835415,0.0294446876160439,0.0683245782826433,-0.0657195911305686,0.191628644498004
"Granulocyte-macrophage progenitor",-0.10027443066196,0.112342742523587,0.10823769461258,0.303690389283561,0.0123226358762699,0.239815227819691,0.00703417690825505,-0.004787561358797,-0.0159116383997954,0.119377821440968,0.0190101322468531,-0.0565109021524097,0.169251684500578,-0.0252724601946572,0.290936201888942,0.0928154321202133,0.0498192269302304,0.0796117667182451,0.0521850482193415,0.160618499466455,0.0324205036498549,0.0201201349822462,0.103768121228782,-0.0998608003358831,0.0675188475878001,-0.112642207889134,-0.055846775834796,0.0559648200741937,-0.0391977011003634,-0.106231789124143,-0.00826010802407395,0.0599241952006553,0.0347796638244275,0.0415672283257477
"Hematopoietic stem cells",0.0609047669705478,0.0547248429005419,0.117426174638828,0.175259317512217,0.198634679057565,0.150001639012877,-0.10311929247717,0.00413680280883999,-0.131409597940272,0.0391425921062087,-0.0273225660233318,-0.116840948822776,-0.019047619047619,-0.0599059962968238,0.323754349820813,0.210109607650581,0.167941720681161,0.293559354899025,0.23357901717671,0.255016098154257,-0.0928649606427777,-0.0681504485852312,0.0137629270807834,-0.103627893051051,0.0109798414278598,0.12261422303317,0.141610169337367,0.217709881971224,0.212442285089068,0.139784224150949,0.181714234535467,0.233889666145228,-0.235686465433301,0.507611162412588
"Megakaryocytes",0.254575689839175,-0.100560527263529,0.099375252278942,0.226980622672769,0.137398669061171,0.289491799534322,0.0396119243709689,-0.0205560919833233,-0.0109183545506583,0.130398447399413,0.0764389368288217,0.0577829781831491,0.218032048845848,-0.0531586630750817,0.346351777150673,0.169250148860937,0.172123595783945,0.351063030475753,0.213763791872092,0.254585303442415,0.169556284182655,0.24703434774558,0.102401581958412,0.105915159564996,-0.0320589310109514,0.0774331059577109,0.130647295533374,0.0424514339253297,0.1388634992184,0.107970933951357,-0.0122522092190112,-0.0301280035061939,0.0280877054300668,-0.0251291978415976
"Megakaryocyte-erythroid progenitor",-0.0176277735770088,-0.0799651790024634,-0.180003051772864,-0.139407713754356,-0.217983640488898,-0.319387231085839,-0.0371061644246577,-0.199841532902212,-0.19351270471837,-0.262573025481303,-0.0805586277643915,-0.144570196207209,-0.136936936936937,0.146218487394958,-0.126947680961202,0.213576232630834,0.0379284894363716,-0.0835369490566625,-0.165344697598766,0.00424257379545195,-0.0864277383930599,-0.0138630089717046,0.0133859281448556,0.186039910942856,0.122253868369942,0.0706143838572759,0.0233459685748808,-0.060393995630101,-0.13426617641519,0.103448301477712,0.188888225459756,0.229510262738135,-0.125876338851022,-0.187932367405318
"Multipotent progenitors",0.00418884010731719,-0.00524390243902439,-0.0154872098118732,-0.0335080027237978,-0.0904311101259463,0.160475190475768,-0.0103730410824699,-0.0606581692940266,-0.0201858829673767,0.0194961655317629,-0.00682581415916103,-0.0896344037217539,-0.0578310650580369,-0.0753053230393581,0.122805143867107,0.00792845577121315,-0.102989119767824,0.122142342360519,-0.0177860445824637,0.0971644020581251,-0.0531131960252233,0.111590713404285,-0.0148404685086845,0.0940280878554076,0.0273618170363604,0.0558796948197177,0.0348183177751266,0.0728530959734323,-0.10425449258694,0.125180345321559,-0.0500510729150569,-0.0483037529600272,0.147079517317256,-0.0591482127052397
"Platelets",-0.0274929670170618,-0.00620754589055757,-0.164437255578427,0.223479592330531,-0.048157450332542,-0.0963120800386372,-0.0416730654219103,0.00979694359818846,0.0126522177630443,0.0269114680740622,-0.0439462566749041,-0.011686266675459,-0.00158189947817892,-0.00343670312956785,-0.0105633975225362,-0.0145235320405628,0.154887162980896,0.106601223892657,-0.0214617256015511,0.0181231355443257,0.206610964068257,0.202248222039768,0.083051095207824,0.245509052507575,-0.0799263084822966,0.12896042639244,-0.0380029335259758,0.0715747639043016,-0.0303043158309604,-0.00817550145426381,0.00636266131141237,0.000422420350832779,0.0248754354814079,-0.0890207021318276
