"","BRCA","DLBC","PRAD","UCS","SKCMprimary","KICH","HNSC","CESC","BLCA","UCEC","LUSC","OV","CHOL","THYM","PAAD","PCPG","LAML","SARC","LUAD","LIHC","THCA","ESCA","STAD","KIRP","KIRC","MESO","LGG","SKCMmets","GBM","UVM","READ","COAD","ACC","TGCT"
"Astrocytes",0.28893625006128,0.410296611587914,0.290745116789223,0.065072882321229,0.245560070227329,-0.088966643297179,-0.287697503844561,-0.154804022346808,-0.0856135253395536,-0.160084804637732,-0.163986462384982,-0.229250537936489,-0.15902423062058,-0.453850926960268,-0.116167136054805,-0.0559560585280948,0.0325598609668685,0.0352502946516719,-0.137242752835428,-0.105938746447383,-0.195720509088771,-0.366239026307182,-0.0894925189039532,-0.286878259272856,-0.424681155668101,-0.301279852806066,0.0568288673513479,0.0394901769288703,-0.0534720071788932,0.0806005311328956,-0.128619976061943,-0.106650117415281,-0.254426328576681,0.555849273092415
"Epithelial cells",0.360791748619643,0.0335968809621861,0.361689352426809,0.435140723589226,0.539671118012886,0.298145740246603,0.32364206256825,0.352141227927797,0.409266956395446,0.421201839715989,0.278118949352291,0.214543924264807,0.242213642213642,0.423422589374733,-0.0704411280968127,0.193025466863922,-0.0260661015181971,0.0399490043414141,0.132773300830795,-0.136847034326168,-0.0533868658687616,0.310326086956522,0.220121386317401,-0.237711942739793,-0.15869135314717,0.158332238246252,-0.0111007924363353,0.019610853620846,0.015110242488839,-0.0595824684248048,-0.0958801050871746,-0.0730530839807557,0.203042843232717,0.429659093776388
"Hepatocytes",0.0866243141785481,0.107217584068165,0.045299065279433,-0.0479897972487598,0.0440356801054472,0.434359441967817,0.0984780043178003,-0.0528698853780026,-0.0968269787121065,0.177010271540881,-0.0761199357326514,0.0319530491341951,0.175804375804376,0.0532979639214805,0.474595158865497,0.21337757319589,0.157090088572448,0.265521397807948,0.0815278158597066,0.339045638548446,0.145104063404035,0.203484922515415,0.32299568534762,0.464577100680285,0.502975605079567,-0.0406696086304474,0.034338690788211,0.0892605020926995,-0.151388388930445,0.0421903336553446,0.119115133923318,-0.0214334291060643,0.0238990363715255,0.341507054951689
"Keratinocytes",0.510413895636854,0.236989357113805,0.376286611782411,0.419767881420254,0.560648157479667,0.106973491553574,0.236650738602954,0.361511289178961,0.378247295151932,0.382420956526445,0.303595009184818,0.14986371623498,0.322779922779923,0.604123344252956,-0.143362303284223,0.0927243001358427,0.110219149595669,-0.0353594643460862,0.00262504339048622,-0.0506337622052092,-0.117097362180238,-0.0193869335173683,0.122963473138787,-0.231642194293942,-0.165457925450759,-0.0118147110078176,0.051203417166805,-0.0199546996109453,-0.102459115911991,-0.0751138658056436,-0.149277525674707,-0.150066076856601,0.0181589610629289,0.411085577079649
"Melanocytes",0.134912018075062,0.0333667653391574,-0.0278446948842956,0.0530174851167986,-0.26950025029982,0.286869393257873,0.111779939724849,0.144976112830167,0.139413459043411,0.289434229671705,0.171713615183058,0.428315038136652,-0.0751802290623575,-0.000828815530362713,-0.0116089322364421,0.0165638278292183,0.104052649195227,-0.00666335207127465,0.258954429891729,0.0409267154464632,0.118796687546313,0.140686018069647,-0.0146827851284251,0.149050150906848,-0.150247144164161,0.0574518605133613,0.0447583071189318,-0.0788802715566508,0.153156542901463,-0.11602160977523,-0.13522712007597,-0.0710244426243251,0.23103700097371,0.121120002852732
"Mesangial cells",0.250334934853164,0.267996367271535,0.302814193038221,0.236230967754377,0.180052104103831,0.189993334728723,-0.189070068936702,-0.0470395270760898,0.0826827337447783,-0.00420457343228841,-0.0286007028168707,-0.258159946611529,0.204890604890605,-0.37644991739811,0.113402641921019,0.0429356626856309,-0.168075674840995,0.13535204460958,-0.139706943742948,-0.11820174106933,-0.043109963110607,-0.114691166321601,0.0500341931268952,-0.334948900650648,-0.278667077718872,-0.206988825865978,0.10736795294837,-0.0689418820893196,-0.0492249165877775,-0.037195208872871,-0.134971339861476,-0.171570345115203,-0.455760925119515,0.432648564858479
"Neurons",-0.357086480957978,-0.194792874893771,-0.0318822950647827,0.0154479741644934,0.0211464940350564,-0.195347414209806,-0.285763959500693,-0.276099975845399,-0.389335545712505,-0.307920934013625,-0.26656993582556,-0.309652497187832,-0.175546975546976,0.353667568722404,0.166160990980073,-0.0801164910644951,0.134218642244537,0.216670548367957,-0.0396192052314025,-0.0249226915003432,-0.0861349606017518,-0.258017023234414,-0.154742266829424,-0.249923642340724,-0.245051167153235,0.151891284683238,-0.0508967888092139,0.103686297693251,-0.0901521977218067,-0.00457424462316415,-0.128528779555768,0.0603661394132998,0.334177215189873,0.0632060649940655
"Sebocytes",0.515254820937653,0.173266961851004,0.390158252652511,0.416531608673172,0.551112102981655,0.46405664400327,0.284851475405902,0.32149343493452,0.362866374299115,0.469451411910635,0.283651310923969,0.23199761036647,0.281338481338481,0.615645919384703,0.0314096016343207,-0.0558920489343292,-0.182564605827026,-0.0410933621290275,0.19045576942033,-0.021029682583339,-0.0543284692205906,-0.0340493443754313,0.136098909748484,-0.275027227533768,-0.27818155222917,0.209709207765687,0.0453186447394859,0.0681582196507827,-0.0691298783760195,-0.0468073647748381,0.0510478863147839,-0.00283077123165756,-0.0230180035176373,0.269179118173411
