"","STAD","UCEC","BLCA","BRCA","KIRP","KIRC","KICH","COAD","PRAD","THCA","LIHC","LUAD","LUSC","HNSC"
"Astrocytes",-0.721913236929922,-0.416149068322981,-0.580701754385965,0.292892913197376,-0.181834846332384,-0.215744284126086,-0.250434782608696,-0.0787456445993032,-0.419969691244199,-0.0395000789565298,0.104378723418498,-0.118651002599071,-0.268571428571429,-0.411283503374674
"Epithelial cells",0.486095661846496,0.892715979672501,0.731578947368421,0.790788406433641,0.30791788856305,0.473888996076918,0.213913043478261,0.616202090592335,0.128233586613165,0.144175459103633,0.318895558223289,0.607013442431327,0.728571428571429,0.410852713178295
"Hepatocytes",0.450924717170368,-0.16123709954027,-0.421255433615849,-0.344576751282315,-0.400659824046921,-0.528426265354685,-0.402608695652174,0.147450994389717,-0.2635216066037,-0.0465572110789092,-0.12249699879952,0.0440281709598179,0.260434739594739,-0.0257007693817306
"Keratinocytes",0.336411171288506,0.873375346197275,0.680122926377893,0.601375424784457,0.325513196480938,0.517653868415975,0.314782608695652,0.537630662020906,0.308460684709297,0.0689962779537974,0.332148859543818,0.343483343074226,0.526224489795918,-0.0116983791402396
"Melanocytes",-0.032258064516129,-0.482778091473744,-0.32280701754386,-0.375641570600138,-0.0381231671554252,0.412984757862242,0.487826086956522,-0.111034807463116,-0.2090839238453,-0.238487803377526,-0.314861944777911,-0.174634716540035,-0.277040816326531,0.219340289746203
"Mesangial cells",-0.0825361512791991,0.0547713156408808,0.359649122807018,-0.267089788698263,0.101906158357771,0.104701266962506,-0.0765217391304348,-0.146864111498258,-0.641253308289934,0.126927566648668,0.222279825767441,0.166218585622443,0.0830612244897959,-0.203693263935259
"Neurons",-0.580867630700779,-0.719932241671372,-0.598245614035088,0.00662130467482069,0.519794721407625,0.598462923660686,0.507826086956522,-0.403310104529617,-0.212840433706138,0.105355440031991,-0.384489795918367,-0.186732904734074,-0.202857142857143,-0.257364341085271
"Sebocytes",0.322940066604436,0.835922089250142,0.723124246884366,0.726272276963906,0.254032258064516,0.309441121615538,0.280869565217391,0.172996515679443,0.364893707845983,0.248638838475499,0.170804321728691,0.234015195791935,0.437959183673469,-0.476109936575053
