"","UCS","THCA","LUSC","LUAD","ESCA","MESO","LGG","GBM","BRCA","PCPG","SKCMmets","KIRP","KIRC","SARC","OV","STAD","READ","COAD","UVM","THYM","HNSC","ACC","PRAD","DLBC","CHOL","LIHC","SKCMprimary","UCEC","CESC","PAAD","KICH","BLCA","TGCT"
"Astrocytes",-0.174678309634349,0.280081943479827,0.0359612420099255,-0.184418115399736,-0.397902914727465,0.0190418101870936,0.0872437795329895,0.0764858127180059,0.157889858750725,0.046322314184905,0.0965187967181848,-0.129661977093057,-0.0869513995793433,0.174874606198526,-0.13603515322487,-0.234544628045994,-0.211121711921349,-0.158561702597245,-0.059342450381811,0.207726851542808,0.0408612533792712,0.0134224129963414,-0.291316318453729,0.0437126354345769,-0.203676354489413,-0.167208536659466,0.366367240566482,-0.204029918811993,0.0292004379075109,-0.381637295418454,-0.279980200513821,-0.206513388669182,0.727512811880447
"Epithelial cells",0.808523727454471,0.525861933629988,0.270157406302932,0.0354615767502191,0.216468253968254,0.048086716291737,0.088795984266099,0.0569264701864414,0.305073691339195,0.168455869257336,0.209136927706354,0.342729846601481,0.357773091592855,0.162140752296523,0.141850761843613,0.256037454339661,0.265383926438978,0.336859223781004,0.0738802223687081,-0.0742349682041913,0.0669135825649134,-0.151652696830636,-0.156323882682117,0.542054765821967,0.121750321750322,0.278188265650225,0.268805394794962,0.00565701226641817,0.107288430117338,0.435021034954381,0.0416520979020979,-0.135541308924214,0.810301874088206
"Hepatocytes",0.0295308267419812,-0.20328095787734,-0.0368969702089459,0.0619654417446004,0.41562560371694,0.0385264621538663,0.00660932393248953,0.0666654929195618,0.0956656465697089,0.104823897265829,0.0380662264592181,0.178736714782071,0.113807942722523,-0.106721960635095,0.0359824733989076,0.203887021184395,0.109352221109728,0.0310756180811945,0.0767713471824489,0.00680854069181532,-0.0605275837490628,-0.0481624725656285,0.0223002492594537,-0.067252256864912,0.364478764478764,0.337824677995098,0.163631032617428,0.169558468152649,0.0350030028621599,0.0764342668490013,-0.0139156072315786,0.0164357152369876,0.516831973652408
"Keratinocytes",0.66127629601161,0.524310254132338,0.0442847532027578,-0.214362296436598,-0.528775592362549,0.0867943483205162,0.0404764069954655,-0.107436118124849,0.231178935422186,0.0698724664275235,0.0837377229707027,0.349549962317459,0.294428065144384,0.0573056018487648,0.0788247474789696,0.128534117768114,0.11522271315978,0.149579435183951,0.047941001510418,-0.238180018379622,-0.282109712752736,0.0244067709171231,-0.0957692703448221,0.410203363005816,0.174259974259974,0.193226353411834,0.291787850769014,-0.108424142364451,-0.10360161367362,0.177128598881598,-0.0565128552574738,-0.378076588153962,0.766818497511161
"Melanocytes",0.258473058485282,-0.16530646500082,0.0794672225065579,-0.140621621161697,0.128113623265557,0.217743065468479,-6.54505721197769e-05,0.0863611788275561,0.061859139676692,0.0386399308049312,0.0479416042694734,-0.0471091593021714,-0.0369927424335219,-0.0126964165646641,-0.0107221181455764,-0.0832564546649153,-0.214384021758148,-0.0724205536134806,0.0386902150210691,-0.0407117087805843,0.35076646714913,-0.0198286409098564,-0.0950229759811526,0.195235993462368,-0.292481987037117,-0.0332512092431721,-0.159482048531875,0.132460500826325,0.206321591031024,-0.260285505831504,-0.0115821678321678,-0.030022937817472,0.0325886039711995
"Mesangial cells",0.683401972108873,0.413513344227153,0.179511441402946,0.0791321171847354,0.208643892339545,0.231300319968748,0.00665053095126199,-0.0166091214040384,0.197768563782054,0.122933916553182,0.0257921721044577,-0.197355915106358,-0.104895761069132,-0.102622577606438,0.176913005552032,-0.154218304083479,0.0643748507284452,-0.0321452218290633,-0.306632544314159,0.00805991847883492,0.268035308750311,-0.0626877455140951,-0.3197057459284,0.123294161621362,0.0262548262548263,0.0501571324106732,-0.104124103507196,-0.179956957199958,0.265785230715413,0.0465171136233791,-0.161188811188811,-0.190869781051537,0.80581702247076
"Neurons",-0.367128624944665,-0.383724278372516,-0.272144953121645,0.171673831062305,-0.291796066252588,0.0894605799355909,-0.13507182640684,0.0707680458028727,-0.235243284802276,-0.016113730393691,-0.0232076552972696,-0.103809242491832,0.0592722264434079,0.0789804970122548,0.11640054458165,-0.271633445939634,-0.211693933604012,-0.231195639088693,0.147572514124078,-0.137517002688309,0.24067178172036,0.114806306890544,-0.299473545695957,-0.047920070124134,0.0839124839124839,-0.00799052889752598,0.0676271200424916,-0.126123855424377,0.0591924786323647,-0.303440037395474,0.305594405594406,0.464174883893071,0.367293856531877
"Sebocytes",0.67882330818565,0.379011092212856,0.05191316172436,-0.0689102820217255,-0.490585461237635,0.164827217368503,0.0159339391331715,0.0311818514517943,0.33409349561796,0.00759211176637756,0.116732797959259,0.278560778687372,0.372929979654643,0.134549931324429,0.105761982955362,0.113982428903032,-0.000194053021256269,0.0938486181633697,-0.0349642105324759,-0.241292132837146,-0.194451201176711,0.0360505483929709,-0.0799408147031237,0.456401200734573,0.117889317889318,0.278546652732116,0.236909114408093,0.0320056499998549,-0.0642494451782273,0.341268329841935,-0.152447552447552,-0.272186744292172,0.432811422600896
