"","ACE2","TMPRSS2","Cancer","Sample.type"
"TCGA.06.0649.01B",2.30547446370585,2.30547446370585,"GBM","Tumor"
"TCGA.06.0686.01A",2.0391032914108,2.66211433120966,"GBM","Tumor"
"TCGA.06.0743.01A",1.58496250072116,4.35671429457693,"GBM","Tumor"
"TCGA.06.0744.01A",2.36748289813887,3.60663173227491,"GBM","Tumor"
"TCGA.06.0745.01A",2.57770676554161,3.01635368357783,"GBM","Tumor"
"TCGA.06.0747.01A",4.7815538085277,2.82454384640344,"GBM","Tumor"
"TCGA.06.0749.01A",2.04882904775905,3.59709013435502,"GBM","Tumor"
"TCGA.06.0750.01A",1.82602978649974,2.7696448103486,"GBM","Tumor"
"TCGA.06.0878.01A",2.35608745384952,4.15695475199129,"GBM","Tumor"
"TCGA.06.0882.01A",3.18604092648026,2.28608271446955,"GBM","Tumor"
"TCGA.06.1804.01A",4.32515611774159,3.49724190498892,"GBM","Tumor"
"TCGA.06.2557.01A",2.45733162548501,2.8386089475281,"GBM","Tumor"
"TCGA.06.2558.01A",2.91561650361743,2.00363821366405,"GBM","Tumor"
"TCGA.06.2559.01A",2.49141701592851,4.45204845630758,"GBM","Tumor"
"TCGA.06.2561.01A",3.10999567348617,1.83325443846026,"GBM","Tumor"
"TCGA.06.2562.01A",1.96188258266238,1.96188258266238,"GBM","Tumor"
"TCGA.06.2563.01A",1.79576694778239,4.35495281357013,"GBM","Tumor"
"TCGA.06.2564.01A",1.92603738371565,1.58496250072116,"GBM","Tumor"
"TCGA.06.2565.01A",1.77618823057944,6.03342300153745,"GBM","Tumor"
"TCGA.06.2567.01A",3.01799315043775,3.57600204513404,"GBM","Tumor"
"TCGA.06.2569.01A",2.14270750202152,1.58496250072116,"GBM","Tumor"
"TCGA.06.2570.01A",2.30535771955407,2.97403364507934,"GBM","Tumor"
"TCGA.06.5408.01A",3.12807889472143,3.76573628526887,"GBM","Tumor"
"TCGA.06.5410.01A",1.81204634972088,1.81204634972088,"GBM","Tumor"
"TCGA.06.5411.01A",2.13132607460659,1.79093881377582,"GBM","Tumor"
"TCGA.06.5412.01A",2.49817426221753,2.49817426221753,"GBM","Tumor"
"TCGA.06.5413.01A",1.58496250072116,2.54156439872765,"GBM","Tumor"
"TCGA.06.5414.01A",2.42059019261122,1.92014082768488,"GBM","Tumor"
"TCGA.06.5416.01A",2.16645837172253,6.76464604836501,"GBM","Tumor"
"TCGA.06.5417.01A",3.1251882013167,1.58496250072116,"GBM","Tumor"
"TCGA.06.5418.01A",1.99732854231337,2.90045144518586,"GBM","Tumor"
"TCGA.06.5856.01A",2.30024089301226,4.95036576078628,"GBM","Tumor"
"TCGA.06.5858.01A",2.73255141471879,2.40023733680404,"GBM","Tumor"
"TCGA.06.5859.01A",2.50439157680769,3.13650312700992,"GBM","Tumor"
"TCGA.08.0386.01A",3.30059234125782,3.70613266526296,"GBM","Tumor"
"TCGA.09.0364.01A",2.95276312731001,6.15432723618544,"OV","Tumor"
"TCGA.09.0366.01A",6.86922377324115,6.73813645008533,"OV","Tumor"
"TCGA.09.0367.01A",4.77029926541822,8.24389176996331,"OV","Tumor"
"TCGA.09.0369.01A",1.8686940953983,8.56072639533722,"OV","Tumor"
"TCGA.09.1659.01B",2.93128910602559,4.64012697630674,"OV","Tumor"
"TCGA.09.1662.01A",2.54696210844422,1.86650427009621,"OV","Tumor"
"TCGA.09.1666.01A",7.31260950126718,3.05654541071113,"OV","Tumor"
"TCGA.09.1667.01C",4.10517337281853,2.74675107448758,"OV","Tumor"
"TCGA.09.1668.01B",5.360559524817,2.82835353315619,"OV","Tumor"
"TCGA.09.1669.01A",3.32347209448075,3.54463884697341,"OV","Tumor"
"TCGA.09.1670.01A",4.8215785985013,4.03509727058959,"OV","Tumor"
"TCGA.09.1673.01A",3.00416393189278,1.82204872492902,"OV","Tumor"
"TCGA.09.2044.01B",2.19529147037282,2.64033574904696,"OV","Tumor"
"TCGA.09.2045.01A",6.27290865161129,7.55513041801451,"OV","Tumor"
"TCGA.09.2048.01A",3.55263872722877,7.00753889936411,"OV","Tumor"
"TCGA.09.2051.01A",6.63051936044106,6.31748967171959,"OV","Tumor"
"TCGA.09.2054.01A",3.94783539361646,5.58595214068138,"OV","Tumor"
"TCGA.09.2056.01B",3.85243837251765,4.08988792414443,"OV","Tumor"
"TCGA.10.0928.01A",4.90352342020054,5.29545313457692,"OV","Tumor"
"TCGA.10.0936.01A",3.05062821690836,7.77323617917228,"OV","Tumor"
"TCGA.12.0616.01A",3.29108779666626,2.23177030851338,"GBM","Tumor"
"TCGA.12.0618.01A",3.92371967874939,2.61875548957046,"GBM","Tumor"
"TCGA.12.0619.01A",3.00288250853312,3.00288250853312,"GBM","Tumor"
"TCGA.12.0821.01A",3.26653170451967,4.1037326145235,"GBM","Tumor"
"TCGA.12.1597.01B",2.12177800364601,1.58496250072116,"GBM","Tumor"
"TCGA.12.3650.01A",2.47728875772656,2.23643138864524,"GBM","Tumor"
"TCGA.12.3652.01A",2.30100225603281,4.1523051261013,"GBM","Tumor"
"TCGA.12.3653.01A",1.58496250072116,2.15390259314058,"GBM","Tumor"
"TCGA.12.5295.01A",3.4231747515708,1.58496250072116,"GBM","Tumor"
"TCGA.12.5299.01A",1.94688054835801,2.68295526882859,"GBM","Tumor"
"TCGA.13.0730.01A",3.16886544358309,6.73111261204537,"OV","Tumor"
"TCGA.13.0800.01A",4.03276416924966,7.17645039787624,"OV","Tumor"
"TCGA.13.0893.01B",4.04569689460432,4.72503795959033,"OV","Tumor"
"TCGA.13.0897.01A",4.6378991679134,5.85795683894555,"OV","Tumor"
"TCGA.13.0916.01A",6.96884462175167,3.18150004213802,"OV","Tumor"
"TCGA.13.0920.01A",3.86574253826079,5.45086927351038,"OV","Tumor"
"TCGA.13.0924.01A",4.63284816818081,5.01996212813002,"OV","Tumor"
"TCGA.13.1403.01A",4.7177406002088,3.61280470701022,"OV","Tumor"
"TCGA.13.1405.01A",3.86736908141584,3.2507540040863,"OV","Tumor"
"TCGA.13.1410.01A",3.55783771305357,6.1491287800325,"OV","Tumor"
"TCGA.13.1411.01A",2.26886037078593,3.52128496794189,"OV","Tumor"
"TCGA.13.1497.01A",4.58862374977108,4.98815255673438,"OV","Tumor"
"TCGA.13.1498.01A",3.58585815067433,3.7597960064016,"OV","Tumor"
"TCGA.13.1505.01A",2.81680121822866,3.68368516631714,"OV","Tumor"
"TCGA.13.1506.01A",3.42207017910211,4.28656736738596,"OV","Tumor"
"TCGA.13.1507.01A",5.03124372819783,2.9236653528968,"OV","Tumor"
"TCGA.13.1511.01A",5.06391506284236,7.22105958803156,"OV","Tumor"
"TCGA.13.1512.01A",4.4950821138128,4.33053889907174,"OV","Tumor"
"TCGA.13.2060.01A",5.61889573770121,2.72792884086539,"OV","Tumor"
"TCGA.13.A5FT.01A",5.6087059579079,9.12245431851045,"OV","Tumor"
"TCGA.14.0781.01B",2.89958169391741,1.58496250072116,"GBM","Tumor"
"TCGA.14.0787.01A",2.37214418532473,2.37214418532473,"GBM","Tumor"
"TCGA.14.0789.01A",1.8606450323678,2.76347531511084,"GBM","Tumor"
"TCGA.14.0790.01B",3.48427994411938,3.3934848462994,"GBM","Tumor"
"TCGA.14.0817.01A",2.23293699109566,2.39722795932385,"GBM","Tumor"
"TCGA.14.0871.01A",2.63108099412237,1.58496250072116,"GBM","Tumor"
"TCGA.14.1034.01A",4.02494017413824,2.07286040193125,"GBM","Tumor"
"TCGA.14.1823.01A",2.1700532353023,1.58496250072116,"GBM","Tumor"
"TCGA.14.1825.01A",2.22410203210158,3.27634777302029,"GBM","Tumor"
"TCGA.14.1829.01A",2.37534531979267,2.56513407441037,"GBM","Tumor"
"TCGA.14.2554.01A",2.67244797230445,1.98706614318418,"GBM","Tumor"
"TCGA.15.0742.01A",2.01884778542798,1.81815521717118,"GBM","Tumor"
"TCGA.15.1444.01A",2.26381565407864,3.4740206326522,"GBM","Tumor"
"TCGA.16.0846.01A",2.05175491330315,2.40389484473165,"GBM","Tumor"
"TCGA.16.1045.01B",3.55123298785497,1.85722462569545,"GBM","Tumor"
"TCGA.18.3406.01A",8.06375638395993,8.32338358075225,"LUSC","Tumor"
"TCGA.18.3407.01A",6.63079859425352,9.8547608782205,"LUSC","Tumor"
"TCGA.18.3408.01A",6.81689405182488,7.63487637827936,"LUSC","Tumor"
"TCGA.18.3409.01A",3.11119828131907,7.87525787611021,"LUSC","Tumor"
"TCGA.18.3410.01A",3.59208622446715,8.65107681251565,"LUSC","Tumor"
"TCGA.18.3411.01A",5.7573219985693,4.42663376902669,"LUSC","Tumor"
"TCGA.18.3412.01A",7.51853513898218,10.804300455282,"LUSC","Tumor"
"TCGA.18.3414.01A",5.92992588907848,8.3142614766383,"LUSC","Tumor"
"TCGA.18.3415.01A",7.08076424148888,8.07090448413358,"LUSC","Tumor"
"TCGA.18.3416.01A",8.74750153240393,4.34304532628244,"LUSC","Tumor"
"TCGA.18.3417.01A",3.9688464709691,5.5813271417871,"LUSC","Tumor"
"TCGA.18.3419.01A",6.80181827435142,11.1978002889787,"LUSC","Tumor"
"TCGA.18.3421.01A",7.65806863458683,7.87565106975144,"LUSC","Tumor"
"TCGA.18.4083.01A",4.94272092498371,5.64669262347899,"LUSC","Tumor"
"TCGA.18.4086.01A",7.87201609150364,6.53750574589957,"LUSC","Tumor"
"TCGA.18.4721.01A",5.47097279637259,5.61625770243676,"LUSC","Tumor"
"TCGA.18.5592.01A",7.80489896311341,3.20312283198418,"LUSC","Tumor"
"TCGA.18.5595.01A",7.46408009207885,7.81601083573265,"LUSC","Tumor"
"TCGA.19.1390.01A",2.21045120946998,2.07761900787773,"GBM","Tumor"
"TCGA.19.1787.01B",3.3060580428012,4.48412523842698,"GBM","Tumor"
"TCGA.19.2619.01A",3.44498503952238,2.66044949431288,"GBM","Tumor"
"TCGA.19.2620.01A",3.36820959809927,2.27247116144188,"GBM","Tumor"
"TCGA.19.2624.01A",4.01816233713554,3.32393204856882,"GBM","Tumor"
"TCGA.19.2625.01A",2.82727028976529,4.81229797974113,"GBM","Tumor"
"TCGA.19.2629.01A",2.45874945609411,3.9529858003903,"GBM","Tumor"
