"","Gene","Clinical.feature","Sample.type","Sample.total","Sample.total.wData","Group1","Group2","Group3","Group4","Group5","Group1.samples","Group2.samples","Group3.samples","Group4.samples","Group5.samples","Group1.isNA.samples","Group2.isNA.samples","Group3.isNA.samples","Group4.isNA.samples","Group5.isNA.samples","term","comparison","estimate","conf.low","conf.high","adj.p.value"
"28","ACE2","bmi.group","Tumor",10022,2651,"level1","level2","level3","level4",NA,940,833,451,427,NA,0,0,0,0,NA,"bmi.group","level4-level1",0.257422463565707,-0.0441555264064232,0.559000453537837,0.125032520582201
"29","ACE2","bmi.group","Tumor",10022,2651,"level1","level2","level3","level4",NA,940,833,451,427,NA,0,0,0,0,NA,"bmi.group","level3-level2",-0.0678972039032946,-0.370007126452155,0.234212718645566,0.938771058380901
"30","ACE2","bmi.group","Tumor",10022,2651,"level1","level2","level3","level4",NA,940,833,451,427,NA,0,0,0,0,NA,"bmi.group","level4-level2",0.0719875325402803,-0.235581129677007,0.379556194757567,0.931550732453141
"31","ACE2","bmi.group","Tumor",10022,2651,"level1","level2","level3","level4",NA,940,833,451,427,NA,0,0,0,0,NA,"bmi.group","level4-level3",0.139884736443575,-0.209045254219768,0.488814727106918,0.731498823184722
"32","ACE2","smoking.group","Normal",708,179,"never","light","heavy",NA,NA,61,25,93,NA,NA,0,0,0,NA,NA,"smoking.group","light-heavy",-0.270966093769519,-1.01311017160391,0.471177984064876,0.663721094053465
"33","ACE2","smoking.group","Normal",708,179,"never","light","heavy",NA,NA,61,25,93,NA,NA,0,0,0,NA,NA,"smoking.group","never-heavy",-0.186169625738671,-0.728935669589732,0.35659641811239,0.696331215194024
"34","ACE2","smoking.group","Normal",708,179,"never","light","heavy",NA,NA,61,25,93,NA,NA,0,0,0,NA,NA,"smoking.group","never-light",0.0847964680308477,-0.697502946018603,0.867095882080299,0.964383353732388
"35","ACE2","smoking.group","Tumor",10022,2402,"never","light","heavy",NA,NA,778,431,1193,NA,NA,0,0,0,NA,NA,"smoking.group","light-heavy",-0.0247236909283597,-0.273797065129093,0.224349683272374,0.970568823971334
"36","ACE2","smoking.group","Tumor",10022,2402,"never","light","heavy",NA,NA,778,431,1193,NA,NA,0,0,0,NA,NA,"smoking.group","never-heavy",-0.0216440490005603,-0.225877295264359,0.182589197263238,0.96652275302171
"37","ACE2","smoking.group","Tumor",10022,2402,"never","light","heavy",NA,NA,778,431,1193,NA,NA,0,0,0,NA,NA,"smoking.group","never-light",0.00307964192779941,-0.263040572989208,0.269199856844807,0.999594008161926
"38","TMPRSS2","race","Normal",708,644,"AA","ASIAN","WHITE",NA,NA,48,20,576,NA,NA,0,0,0,NA,NA,"race","ASIAN-AA",-0.874564291663873,-1.96788159641211,0.218753013084362,0.145523020079339
"39","TMPRSS2","race","Normal",708,644,"AA","ASIAN","WHITE",NA,NA,48,20,576,NA,NA,0,0,0,NA,NA,"race","WHITE-AA",0.113041637177995,-0.504104218147331,0.73018749250332,0.902978444725367
"40","TMPRSS2","race","Normal",708,644,"AA","ASIAN","WHITE",NA,NA,48,20,576,NA,NA,0,0,0,NA,NA,"race","WHITE-ASIAN",0.987605928841868,0.053224339808953,1.92198751787478,0.0354033961874337
"41","TMPRSS2","race","Tumor",10022,8747,"AA","ASIAN","WHITE",NA,NA,857,623,7267,NA,NA,13,1,145,NA,NA,"race","ASIAN-AA",-0.0930960192982635,-0.330258998790527,0.144066960194,0.627536478117593
"42","TMPRSS2","race","Tumor",10022,8747,"AA","ASIAN","WHITE",NA,NA,857,623,7267,NA,NA,13,1,145,NA,NA,"race","WHITE-AA",-0.00365383133206976,-0.16703209316773,0.15972443050359,0.998485935056239
"43","TMPRSS2","race","Tumor",10022,8747,"AA","ASIAN","WHITE",NA,NA,857,623,7267,NA,NA,13,1,145,NA,NA,"race","WHITE-ASIAN",0.0894421879661937,-0.0982010089118346,0.277085384844222,0.503349253842212
"44","TMPRSS2","stage","Tumor",10730,7327,"I","II","III","IV","Normal",1993,2142,1675,809,NA,7,3,4,8,NA,"stage","II-I",-0.0623137667660432,-0.228349621114939,0.103722087582853,0.844379530450794
"45","TMPRSS2","stage","Tumor",10730,7327,"I","II","III","IV","Normal",1993,2142,1675,809,NA,7,3,4,8,NA,"stage","III-I",-0.0853411048455408,-0.262217367140405,0.0915351574493238,0.680962909497643
