"","ACC","BLCA","BRCA","CESC","CHOL","COAD","DLBC","ESCA","GBM","HNSC","KICH","KIRC","KIRP","LGG","LIHC","LUAD","LUSC","MESO","OV","PAAD","PCPG","PRAD","READ","SARC","SKCMmets","SKCMprimary","STAD","TGCT","THCA","THYM","UCEC","UCS","UVM"
"Gordoniaceae|Gordonia",0.0621957156767283,-0.0580952093639815,0.0656936557264897,0.0322952528212269,-0.102702702702703,-0.0229521223318291,-0.0500845307197054,-0.0183114791810444,-0.0683224943116699,-0.0645357220465026,-0.299194702757183,-0.121892704321982,-0.000522308109396569,-0.0275437640516039,0.0503248135628883,-0.0342700490267178,0.0633625009577177,0.151041305474042,-0.0170626589005766,-0.163706912968958,0.186672814736366,0.0392150402336189,-0.0479846687215872,0.0580774043883533,-0.143731445831564,0.170776572087681,0.00214153193745491,-0.0330831192823544,0.00288058628788282,0.0357641361629398,0.0285250902972328,-0.0590919188725866,0.0285948933109595
"Glycomycetaceae|Stackebrandtia",0.0894352482960078,0.0197998100876581,0.00107603383005428,-0.0396923773481749,-0.0705276705276705,0.0211281595465066,0.512658857440522,0.0646882907752473,-0.118075898498512,-0.0223360455851462,-0.00585670735073588,0.00831899908884605,0.141614125893542,-0.0198015032477794,0.12930587099787,-0.0512538093982054,-0.017774208264314,0.130320701196543,-0.00781033069581282,-0.0690669309741867,-0.00827213646445052,-0.0133137638959608,0.0269723826121472,-0.0517113084625758,-0.00612171954649276,0.0315190184225171,-0.0347617813722768,0.0321379585550808,0.0776259074338882,0.037822247543085,0.0904399651158954,0.0255985235601893,-0.0724607263638669
"Intrasporangiaceae|Terrabacter",-0.110004868549172,-0.00651598054914467,0.236830137532435,-0.081530681109526,-0.235263835263835,0.0335347196701219,0.230856461007782,0.0520646422820336,-0.0875341371593886,-0.036284907163725,-0.174411870769489,-0.105823880980001,-0.107402682788193,-0.0742304542962591,-0.115623847094516,-0.0499106898970854,-0.00626837862882083,-0.273287204183227,-0.172948394130988,0.0673637921781133,-0.106546502844576,0.0168189026650099,0.0385607700370258,0.0844874737496741,0.00627569674463789,-0.0722397872530032,0.08650644760571,0.036105638547409,0.0738198435756513,0.00476427859279305,-0.0189461027550701,-0.0695842376082049,0.11461414989118
"Intrasporangiaceae|Tetrasphaera",0.0381937682570594,0.0596116322950398,-0.0180936636651734,0.0430013924602124,-0.232689832689833,0.0709388113641011,0.496907457115897,0.215907522429262,-0.0235625450617635,0.03969162421228,-0.185644510986945,0.115312600624187,0.0649045098188162,0.0877730329993315,0.0635965120907422,-0.00397713514487189,-0.0431305463730533,-0.317127242950845,0.0478086415173655,0.0453290282370458,-0.126328639758516,-0.00573655034391555,0.194918723137702,-0.0786094290480902,0.011659299508876,-0.120150454251723,-0.0097114605836739,-0.199835407382302,0.00734012372600696,0.02927645634525,-0.00291463598301279,0.037697158193443,0.126202236269862
"Microbacteriaceae|Plantibacter",0.280988315481986,0.0176133870686799,0.0245996732458463,0.00163507291195038,-0.058944658944659,0.0575911559275559,-0.183479202218871,0.131590752242926,-0.0443190487113268,0.0444089142139701,-0.124520591360049,0.297617278012847,0.211675184078247,0.00792730467270451,0.275279629281973,0.0297779732073772,-0.0267174847348573,0.200075661631188,-0.0869630153074471,0.0293796852547567,0.0323288598559648,0.00275504723483815,0.0574891930612321,-0.0178214738806107,-0.0468963422685879,0.124306083468225,0.205600688218847,0.133477144078807,0.0457446683127138,-0.016322461187865,0.0342592897605803,-0.0450793759357673,0.079028872489436
"Micrococcaceae|Paenarthrobacter",0.124415774099318,0.0465880638666281,0.0119746764202861,-0.137228662469353,0.0213642213642214,0.190049765348056,0.151607228124514,0.0225845410628019,-0.0745019375190485,0.0212538812564889,-0.0792622297056681,0.135845735826476,0.0660905735697428,0.00359082806618772,0.0485202167280359,-0.0780214935839729,-0.0942718464446524,-0.206781053170396,-0.0327433219976855,-0.0913808625196932,0.0256821484267844,-0.0537411144998477,0.269525362970497,0.011974537259889,-0.0471928548809843,-0.178856962230879,0.0172071185000525,-0.0728222649000476,0.0931768996567796,0.0756872240421593,-0.0695068635461807,0.0191049061016633,0.27698810518114
"Promicromonosporaceae|Cellulosimicrobium",-0.0737828627069133,-0.0607649618240212,0.0459536704768232,0.00359818553037357,0.145945945945946,0.0317221523094391,0.0999229458093385,0.0583937198067633,0.0418479549951019,0.0155552550884902,-0.083938854232002,-0.15991595845579,-0.0957819822038049,0.0939154852970657,-0.0523621473554844,-0.0324758910661542,-0.0327584893027836,-0.0769420068590646,-0.0336218252290545,-0.0624383234362286,0.043864832476457,-0.0482103154930981,-0.0921675277073165,-0.0810614371107173,0.0223583412184106,0.00952056852246245,-0.0797516017219019,-0.0569739893807228,0.0691499121180483,-0.0581612305939325,0.0553554905586534,0.0704728378920032,-0.00417546432268317
"Micromonosporaceae|Salinispora",0.15983446932814,-0.0743418280571062,-0.0795087487784634,-0.0773823456547553,0.12046332046332,-0.00485313069488952,-0.339885685129794,0.0917097998619738,-0.121510821299074,0.0443007460704542,0.142986702223376,0.0165645562634067,0.0800341569596115,0.0653653105677352,-0.0548874698344799,-0.0173741605758115,0.0696387271926367,0.0518392875474906,-0.00139536574871125,-0.0265945014802375,0.128746216009377,-0.0487810838372246,0.0101557315537804,-0.0487512017458661,-0.0403336271577632,0.152724870570495,0.0433511261285537,0.0648420160154151,0.0673459588874626,0.081192137872098,0.0188768391798319,-0.0296655787052661,-0.137743407319076
"Pseudonocardiaceae|Alloactinosynnema",0.180404089581305,0.133513242731088,0.0816512466325903,0.163149779171187,0.142342342342342,-0.0552532872847003,0.218919852949277,0.1511329652634,0.147206094547455,0.124003573411884,0.143882691034496,0.044877427491866,0.0494956347719944,0.0248738130635211,0.227439156255521,0.166847714442676,0.215324371504847,-0.0616801579472875,0.103366307640159,0.107563927217327,0.145989573207775,-0.0250295456481415,0.0212386581410205,0.0158526780073764,-0.12581568151268,-0.0464265137071119,-0.0636620977928924,0.0656076211427846,0.099786478053203,0.0373451075345392,-0.070450332388889,0.140979852717999,-0.020361252989264
"Pseudonocardiaceae|Kutzneria",-0.199026290165531,-0.000972136203516791,0.0432357535140627,0.00679187418310425,-0.442471042471043,0.0432554337935904,-0.0233809848568649,-0.0710116172072694,-0.0298923729489677,-0.0265529613443755,-0.23468350835654,-0.050333651034462,-0.0426521936154775,-0.0340076345190426,0.0314270785440131,-0.00788888909288639,0.015765427619154,-0.154120119054017,-0.111223596192437,-0.0879486158480636,0.0916839279881183,-0.0371217418567774,0.0439874968214886,-0.0250074405597786,-0.0100077875528023,-0.111619321256999,-0.0499397808896089,0.0235891169374182,0.142169869503774,-0.154742914114798,0.0231729948906158,-0.116440814111569,0.0782547695532082
"Streptomycetaceae|Kitasatospora",0.0511927945472249,-0.0425780461990681,-0.0414909913329497,-0.0286795547544401,0.214157014157014,-0.0337965364996493,-0.169942842564897,0.0828703703703704,-0.078575995208869,0.0421787188835502,0.140888777202217,-0.0543254136239898,0.033681800679472,0.0774497472025886,-0.0541721831518493,0.0216200114197797,0.0170474786364413,0.0665155952262664,-0.0558557180728568,-0.0180593306902581,0.127060189241767,-0.0368222726270417,0.0289384082014897,-0.0385719463970689,-0.0593736076047645,0.175185057050161,-0.0136221047223506,-0.0569365819640761,0.110099769024266,0.0776954849736505,-0.028056159401543,0.218048838870505,-0.173234854061883
"Nocardiopsaceae|Nocardiopsis",0.0396786757546251,-0.0515030763786835,-0.105403664979737,-0.0765451609871945,-0.127155727155727,-0.124904902054588,-0.0729732843164258,0.0627875546353807,0.0204933304598686,0.0228047420141488,-0.134354614896732,-0.0441266338824717,0.018025654391291,0.0309496839447334,-0.0984005532966246,-0.0286323232805409,-0.0178810802684129,0.0816452251499465,-0.0459469581662572,0.0220888661899898,0.135875576949696,-0.0640668553483739,0.0578644124560435,0.0264487816397271,-0.0555149268471369,0.158078816148369,-0.0225369613854877,0.0494002344236513,0.080849783152111,-0.0228884774248683,0.0715952427962483,0.230660127513642,-0.131878991135532
"Fimbriimonadaceae|Fimbriimonas",-0.0467380720545278,0.00641606360565344,0.0304782475825877,0.0625488001776882,-0.0254826254826255,-0.0385637151196648,0.259159758466092,-0.0235248447204969,-0.0759476811455536,-0.00399362580582852,-0.0756564210755508,0.0102609540773425,0.0735102824497665,-0.107521841036344,0.120950361239919,-0.0392372860091787,-0.0382511940235936,-0.0747698377688983,0.0254006132891715,-0.0835057391665657,-0.106936085409621,0.0167547484623957,0.175732918214576,-0.0441942135448969,-0.000973647120919324,0.0841350010420383,0.0170408089231851,0.118636374981167,0.0613964466698235,-0.030002848597066,-0.0295026137310999,-0.279772381660494,0.0752287308024996
"Bacteroidaceae|Bacteroides",0.403164556962025,-0.0348752537853247,0.0720198159458346,0.0871205973056322,0.0682110682110682,-0.0835411782354894,0.251530173933852,0.0173136645962733,0.0780872449994358,0.114222275877055,0.0737770299107625,0.0322998511767699,0.16263584856732,0.00193086107913665,0.224452786922734,0.0858884529462441,0.0438256790605837,-0.0385607234571696,0.233766970659006,0.163646318450165,0.0675471237360115,0.0669097973247299,-0.13220746841645,0.209006899824883,0.179126482585894,-0.253174564092134,0.0448233923186431,-0.0707498940178196,0.161301781218251,0.176783933912548,0.0397500772309479,-0.135955843421139,0.143560908173152
"Porphyromonadaceae|Sanguibacteroides",0.31222005842259,0.0416092670635024,-0.048733396272547,0.0535729845633399,0.123809523809524,-0.129821193975072,0.389354926774319,0.108525994939038,-0.113574611604642,0.0541388318806287,0.000284094013281964,0.118136709732122,0.0245139050782283,0.095571517105287,0.16603884622853,0.0189630460579422,-0.00509165074600789,-0.169797513356956,0.0843787027207361,0.0518602517269438,-0.121898220254923,0.0495464051511097,0.0416276459169308,0.170255909140185,0.0674866844331975,-0.09979006983648,-0.0130423902856061,-0.128292476131572,0.00161613530517176,0.128336419313488,-0.103063334159687,-0.0670209675587868,0.145977047640772
"Saprospiraceae|Lewinella",-0.0500486854917235,0.0596709993914378,0.0571576892100347,0.0559072775267173,0.0965250965250965,0.0834883701700857,-0.160836564252223,0.0829163791120313,-0.0800319923362712,-0.0548567013545163,-0.111561533677264,0.0914406549511006,0.0673012596688556,-0.0239200523646204,0.0800220493709764,-0.0654314822396723,-0.0899655758563029,-0.000406101177726744,-0.0595944112976697,0.120676148266131,-0.00806435909642664,-0.0503493529794837,0.164615880773262,-0.163445313303421,-0.0333811610679183,0.0325854100468576,-0.00705844377947137,0.176094166950521,0.0817464714596554,-0.0621706309642501,-0.0724369601486663,-0.00611767118461134,0.00638048480769563
"Hymenobacteraceae|Rufibacter",0.201923076923077,-0.0709866153277929,0.0313194698694149,0.0570502908789585,0.0864864864864865,-0.0281420434122598,-0.129949052678154,-0.0163359788359788,0.0811051920968447,0.0355537098292971,0.137261115186463,-0.0409929906137221,0.248090589286135,0.0331010055022178,0.27724650954986,-0.01048587919146,-0.0205993464596248,-0.0513859653025863,0.103742948780556,0.00099331729021312,-0.0677981880557071,0.0997281310131345,0.0525276142868661,0.014833715536468,0.0358698707859226,-0.0319587675459565,-0.00416875565434208,0.130020698780651,0.0863513780748992,0.0906993305796895,0.0392317548095824,-0.0694817068062282,0.0296739458887315
"Flavobacteriaceae|Capnocytophaga",-0.0825219084712756,0.0608582529755038,-0.190549441346492,0.00398944122194791,-0.0576576576576577,0.116491743424232,-0.0691584920503057,0.0161116862203819,-0.00894447061599,-0.0303918680734964,0.088375091516328,-0.208104230126591,-0.0716636063358017,-0.0505690381678294,-0.01134858292702,0.0323610914763523,0.0290549355143621,0.177617322081555,-0.138736008637639,0.0312581153373383,-0.178011095706871,0.0159265669794636,0.104642797338113,-0.0472372751439058,0.111192959975313,-0.0126977559393119,0.0473071381931137,0.057871767380244,0.0436934689091021,-0.0716920666571714,0.0584306283859532,-0.187016182805549,0.180811679771022
